Text,Start,End
中,0,1.1769614512471656
主,1.1769614512471656,2.0651020408163268
之,2.0651020408163268,3.275714285714286
今,3.275714285714286,4.061428571428571
保,4.061428571428571,5.017165532879819
先,5.017165532879819,6.372811791383221
公,6.372811791383221,7.146258503401361
分鐘,7.146258503401361,8.64138321995465
加,8.64138321995465,9.437437641723356
包,9.437437641723356,10.599954648526078
參考,10.599954648526078,12.0381179138322
反,12.0381179138322,13.322517006802723
口,13.322517006802723,14.192086167800456
只,14.192086167800456,15.319410430839005
可,15.319410430839005,16.26151927437642
喜歡,16.26151927437642,17.61589569160998
單,17.61589569160998,18.851360544217687
因,18.851360544217687,19.713492063492065
多,19.713492063492065,20.491156462585035
天,20.491156462585035,21.714308390022676
好,21.714308390022676,22.701904761904764
專家,22.701904761904764,24.201292517006806
小,24.201292517006806,25.225918367346942
己,25.225918367346942,26.26122448979592
廣東,26.26122448979592,27.555011337868486
影,27.555011337868486,28.575963718820866
心,28.575963718820866,29.521859410430842
感,29.521859410430842,30.496916099773244
所,30.496916099773244,31.53809523809524
手,31.53809523809524,32.561995464852615
打工,32.561995464852615,33.89287981859411
把,33.89287981859411,34.759773242630395
採訪,34.759773242630395,36.23648526077098
收,36.23648526077098,37.567551020408175
新,37.567551020408175,38.89138321995466
方,38.89138321995466,39.87609977324264
星,39.87609977324264,40.938027210884364
本,40.938027210884364,41.869501133786855
杯,41.869501133786855,42.66764172335601
機,42.66764172335601,43.713469387755104
檢討,43.713469387755104,45.13136054421769
比,45.13136054421769,45.84600907029479
波,45.84600907029479,46.62879818594105
清楚,46.62879818594105,48.10882086167801
港,48.10882086167801,48.97102040816327
申請,48.97102040816327,50.40052154195012
當,50.40052154195012,51.40700680272109
真,51.40700680272109,52.27417233560091
空間,52.27417233560091,53.83691609977325
等,53.83691609977325,54.601337868480734
經,54.601337868480734,55.73662131519275
者,55.73662131519275,56.608253968253976
股,56.608253968253976,57.62591836734695
表,57.62591836734695,58.416643990929714
補充,58.416643990929714,59.74485260770976
解,59.74485260770976,60.70140589569162
該,60.70140589569162,61.560997732426316
警,61.560997732426316,62.56621315192745
起,62.56621315192745,63.66179138321996
車,63.66179138321996,64.80528344671202
通,64.80528344671202,66.01464852607711
選,66.01464852607711,67.33448979591839
都,67.33448979591839,68.09476190476192
開,68.09476190476192,68.98430839002269
關,68.98430839002269,70.33526077097507
阻止,70.33526077097507,71.67875283446713
風險,71.67875283446713,73.1820634920635
飲品,73.1820634920635,74.58956916099774
餐廳,74.58956916099774,76.02528344671202
高,76.02528344671202,77.174716553288
點,77.174716553288,78.09079365079366
