Text,Start,End
三,0,1.2143083900226757
交,1.2143083900226757,2.039047619047619
人,2.039047619047619,2.896734693877551
來,2.896734693877551,4.031632653061225
傳媒,4.031632653061225,5.385918367346939
全,5.385918367346939,6.3034240362811795
凌晨,6.3034240362811795,7.718843537414966
前,7.718843537414966,8.698503401360545
台,8.698503401360545,9.572607709750567
同,9.572607709750567,10.39750566893424
和,10.39750566893424,11.489795918367347
品牌,11.489795918367347,12.74859410430839
員,12.74859410430839,13.965850340136054
回,13.965850340136054,14.887301587301588
團體,14.887301587301588,16.120680272108842
如,16.120680272108842,17.193083900226757
安,17.193083900226757,18.393378684807256
形容,18.393378684807256,19.84981859410431
情,19.84981859410431,21.082063492063494
成,21.082063492063494,22.11746031746032
持,22.11746031746032,23.31775510204082
旗,23.31775510204082,24.210181405895696
早,24.210181405895696,25.179977324263042
明,25.179977324263042,26.00009070294785
條,26.00009070294785,27.0792970521542
檢查,27.0792970521542,28.365895691609982
民,28.365895691609982,29.18600907029479
減肥,29.18600907029479,30.415510204081638
火,30.415510204081638,31.507142857142863
無,31.507142857142863,32.62213151927438
然,32.62213151927438,33.438095238095244
球,33.438095238095244,34.59285714285715
男,34.59285714285715,35.81487528344672
留,35.81487528344672,36.89401360544218
當年,36.89401360544218,38.023424036281185
籌款,38.023424036281185,39.46070294784581
紅,39.46070294784581,40.37006802721089
能,40.37006802721089,41.225396825396835
要求,41.225396825396835,42.458798185941056
走,42.458798185941056,43.47780045351475
連,43.47780045351475,44.29321995464854
重新,44.29321995464854,45.68950113378686
銀行,45.68950113378686,46.95682539682541
門,46.95682539682541,48.0213605442177
防止,48.0213605442177,49.436757369614526
離開,49.436757369614526,50.82755102040818
頭,50.82755102040818,51.999342403628134
題,51.999342403628134,53.18099773242632
高層,53.18099773242632,54.484331065759655
黃金,54.484331065759655,55.69365079365081
龍,55.69365079365081,56.51111111111111
