Text,Start,End
世,0,1.2190022675736962
人數,1.2190022675736962,2.5129251700680273
他,2.5129251700680273,3.592448979591837
個案,3.592448979591837,4.9897959183673475
傘,4.9897959183673475,6.034217687074831
價,6.034217687074831,7.151519274376418
再,7.151519274376418,8.092312925170068
到,8.092312925170068,8.932607709750567
制,8.932607709750567,10.051541950113378
化,10.051541950113378,11.188004535147392
半,11.188004535147392,12.300362811791384
口罩,12.300362811791384,13.90170068027211
叫,13.90170068027211,15.031587301587303
四圍,15.031587301587303,16.483038548752837
報,16.483038548752837,17.339863945578234
太,17.339863945578234,18.58603174603175
完,18.58603174603175,19.713741496598644
工,19.713741496598644,20.795464852607715
廣吿,20.795464852607715,21.991859410430845
快,21.991859410430845,23.083424036281183
愛,23.083424036281183,23.99040816326531
戰,23.99040816326531,25.232494331065766
投訴,25.232494331065766,26.782131519274383
抗爭,26.782131519274383,28.323401360544224
指,28.323401360544224,29.25428571428572
提,29.25428571428572,30.366666666666674
放,30.366666666666674,31.47562358276645
政,31.47562358276645,32.70287981859411
教,32.70287981859411,33.898027210884365
更加,33.898027210884365,35.15444444444446
機構,35.15444444444446,36.43712018140591
次,36.43712018140591,37.53553287981861
氣,37.53553287981861,38.68895691609979
流,38.68895691609979,39.71374149659866
照顧,39.71374149659866,41.23272108843539
爆,41.23272108843539,42.29693877551022
界,42.29693877551022,43.186099773242645
破產,43.186099773242645,44.55503401360546
禁止,44.55503401360546,45.882789115646275
算,45.882789115646275,46.977891156462604
聖誕,46.977891156462604,48.59013605442179
肺炎,48.59013605442179,50.16843537414968
背景,50.16843537414968,51.567369614512494
至,51.567369614512494,52.72408163265308
要,52.72408163265308,53.65868480725626
見,53.65868480725626,54.74510204081635
觀眾,54.74510204081635,56.21235827664401
記,56.21235827664401,57.097437641723374
講,57.097437641723374,58.14192743764174
變,58.14192743764174,58.95489795918369
貢獻,58.95489795918369,60.51716553287984
賽,60.51716553287984,61.561972789115664
過,61.561972789115664,62.45297052154197
酒店,62.45297052154197,63.754399092970544
鏡頭,63.754399092970544,64.98829931972791
門票,64.98829931972791,66.5860770975057
關注,66.5860770975057,68.12165532879821
降低,68.12165532879821,69.31430839002267
